restaurant,rank,restaurant_avg_stars,uer_name,review_stars,review_date,user_reviews,user_restaurant_reviews,user_helpful_votes
Si Laa Thai,rank,5,onourway2010,5,2015-11-16,5,None,3
Si Laa Thai,rank,5,Andrew V,5,2015-11-09,18,15,11
Si Laa Thai,rank,5,Carolyn557,5,2015-11-02,7,None,2
Si Laa Thai,rank,5,Silverstrandbeach,4,2015-10-26,2,None,4
Si Laa Thai,rank,5,Ken S,5,2015-10-26,3,None,None
Si Laa Thai,rank,5,onourway2010,5,2015-11-16,5,None,3
Si Laa Thai,rank,5,Andrew V,5,2015-11-09,18,15,11
Si Laa Thai,rank,5,Carolyn557,5,2015-11-02,7,None,2
Si Laa Thai,rank,5,Silverstrandbeach,4,2015-10-26,2,None,4
Si Laa Thai,rank,5,Ken S,5,2015-10-26,3,None,None
Si Laa Thai,rank,5,onourway2010,5,2015-11-16,5,None,3
Si Laa Thai,rank,5,Andrew V,5,2015-11-09,18,15,11
Si Laa Thai,rank,5,Carolyn557,5,2015-11-02,7,None,2
Si Laa Thai,rank,5,Silverstrandbeach,4,2015-10-26,2,None,4
Si Laa Thai,rank,5,Ken S,5,2015-10-26,3,None,None
Si Laa Thai,rank,5,onourway2010,5,2015-11-16,5,None,3
Si Laa Thai,rank,5,Andrew V,5,2015-11-09,18,15,11
Si Laa Thai,rank,5,Carolyn557,5,2015-11-02,7,None,2
Si Laa Thai,rank,5,Silverstrandbeach,4,2015-10-26,2,None,4
Si Laa Thai,rank,5,Ken S,5,2015-10-26,3,None,None
Si Laa Thai,rank,5,onourway2010,5,2015-11-16,5,None,3
Si Laa Thai,rank,5,Andrew V,5,2015-11-09,18,15,11
Si Laa Thai,rank,5,Carolyn557,5,2015-11-02,7,None,2
Si Laa Thai,rank,5,Silverstrandbeach,4,2015-10-26,2,None,4
Si Laa Thai,rank,5,Ken S,5,2015-10-26,3,None,None
Si Laa Thai,rank,5,onourway2010,5,2015-11-16,5,None,3
Si Laa Thai,rank,5,Andrew V,5,2015-11-09,18,15,11
Si Laa Thai,rank,5,Carolyn557,5,2015-11-02,7,None,2
Si Laa Thai,rank,5,Silverstrandbeach,4,2015-10-26,2,None,4
Si Laa Thai,rank,5,Ken S,5,2015-10-26,3,None,None
Si Laa Thai,rank,5,onourway2010,5,2015-11-16,5,None,3
Si Laa Thai,rank,5,Andrew V,5,2015-11-09,18,15,11
Si Laa Thai,rank,5,Carolyn557,5,2015-11-02,7,None,2
Si Laa Thai,rank,5,Silverstrandbeach,4,2015-10-26,2,None,4
Si Laa Thai,rank,5,Ken S,5,2015-10-26,3,None,None
Si Laa Thai,rank,5,onourway2010,5,2015-11-16,5,None,3
Si Laa Thai,rank,5,Andrew V,5,2015-11-09,18,15,11
Si Laa Thai,rank,5,Carolyn557,5,2015-11-02,7,None,2
Si Laa Thai,rank,5,Silverstrandbeach,4,2015-10-26,2,None,4
Si Laa Thai,rank,5,Ken S,5,2015-10-26,3,None,None
Si Laa Thai,rank,5,onourway2010,5,2015-11-16,5,None,3
Si Laa Thai,rank,5,Andrew V,5,2015-11-09,18,15,11
Si Laa Thai,rank,5,Carolyn557,5,2015-11-02,7,None,2
Si Laa Thai,rank,5,Silverstrandbeach,4,2015-10-26,2,None,4
Si Laa Thai,rank,5,Ken S,5,2015-10-26,3,None,None
Si Laa Thai,rank,5,onourway2010,5,2015-11-16,5,None,3
Si Laa Thai,rank,5,Andrew V,5,2015-11-09,18,15,11
Si Laa Thai,rank,5,Carolyn557,5,2015-11-02,7,None,2
